id,name,en_name,code,상세페이지 1차 완성,상세페이지 2차 완성
22096,"보데가스 팔라시오, 라 포다 베르데호","Bodegas Palacio, La Poda Verdejo",29763,True,False
22097,"보데가 팔라시오, 라 포다 소비뇽 블랑","Bodegas Palacio, La Poda Sauvignon Blanc",29764,True,False
22098,"보데가 팔라시오, 라 포다 틴타 데 토로","Bodegas Palacio, La Poda Tinta de Toro",29765,True,False
22099,메종 방뜨냑 리디오,"Maison Ventenac, L'Idiot",29766,True,False
22100,메종 방뜨냑 마리,"Maison Ventenac, Marie",29767,True,False
22101,발렌시소 로사도,Valenciso Rosado,29768,True,False
22102,발렌시소 화이트,Valenciso White,29769,True,False
22103,베르나리 비죠따 브뤼 트라디숑,"Bernard Bijotat, Brut Tradition",29770,False,False
22104,"보데가스 셀라야, 에라두라 템프라니요 엘레강스","Bodegas Celaya, Herradura Tempranillo Elegance",29771,True,False
22105,사티스 데이 메를로,"Satis Dei, Merlot",29772,True,False
22106,사티스 데이 시라-가르나차,Satis Dei Syrah - Garnacha,29773,True,False
22107,미셸 생그라 랑그독,Michel Singla Languedoc,29774,False,False
22108,생떼밀리옹 그랑 크뤼 샤또 벨 아시스 쿠로,"St. Emilion Grand Cru, Chateau Belle Assise Coureau",29775,True,False
22109,생떼밀리옹 샤또 벨 아시스 쿠로 에스프리,"St. Emilion, Chateau Belle Assise Coureau Esprit",29776,True,False
22110,장 페리에 & 피스 사부아 아프로몽,Domaine Jean Perrier et Fils Savoie Apremont,29777,True,False
22111,"까스텔 미미, 클래식 메를로","Castel MiMi, Classic Merlot",29778,True,False
22112,"까스텔 미미, 클래식 까베르네 소비뇽","Castel MiMi, Classic Cabernet Sauvignon",29779,True,False
22113,칼루사리 소비뇽 블랑,Calusari Sauvignon Blanc,29780,True,False
22114,칼루사리 까베르네 소비뇽,Calusari Cabernet Sauvignon,29781,False,False
22115,"파미 아르보, 온 아펠 네그레뜨",Famille Arbeau On I'Appelle Negrette,29782,True,False
22116,"파미 아르보, 일 에 데 노트르 가메",Famille Arbeau Il est des Noootres Gamay,29783,True,False
22117,"파미 아르보, 쥬 쉬 아 브와 말벡","Famille Arbeau, Je Suis a Boire Malbec",29784,True,False
22118,파토리아 디 말리아노 카파토,Fattoria di Magliano Capato,29785,True,False
22119,파토리아 디 말리아노 페렌조,Fattoria di Magliano Perenzo,29786,True,False
22120,파토리아 디 말리아노 포지오 베스티알,Fattoria di Magliano Poggio Bestiale,29787,True,False
22121,파토리아 디 말리아노 헤바,Fattoria di Magliano Heba,29788,True,False
22122,엘리사 세미 스위트 레드,Elisa Semi Sweet Red,29789,True,False
22123,"베츠, 끌로 드 베츠","Betz, Clos de Betz",29790,False,False
22124,"베츠, 수누","Betz, Sunu",29791,True,False
22125,베르나르 토르네 엑스트라 브뤼,"Bernard Tornay, Extra Brut",29792,True,False
22126,베르나르 토르네 팔레 데 담 그랑 크뤼 브뤼,"Bernard Tornay, Palais des Dames",29793,True,False
22127,"다나 에스테이트, 바소 까베르네 소비뇽 2018","Dana Estates, Vaso Cabernet Sauvignon 2018",29794,True,False
22128,덕혼 골든아이 피노 누아 2018,Duckhorn GoldenEye Pinot Noir 2018,29795,True,False
22129,덕혼 나파 밸리 까베르네 소비뇽 2018,Duckhorn Napa Valley Cabernet Sauvignon 2018,29796,True,False
22130,오린 스위프트 파피용 2021,Orin Swift Papillon 2021,29797,True,False
22131,샤또 가쟁 2020,Chateau Gazin 2020,29798,True,False
22132,샤또 몽로즈 2017,Chateau Montrose 2017,29799,True,False
22133,꼬네따블 딸보 2019,Connetable Talbot 2019,29800,True,False
22134,오린 스위프트 팔레르모 2021,Orin Swift Palermo 2021,29801,True,False
22135,샤또 뚜 드 구팡 루즈 발프호미 데파르쥬,Chateau Tour de Goupin Rouge Valpromy Deffarge,29802,True,False
22136,샤또 뚜 생 방상 메독 크뤼 부르주아,Chateau Tour Saint Vincent Medoc Cru Bourgeois,29803,True,False
22137,레미 조바르 뫼르소 레 나르보 2020,"Remi Jobard, Meursault 'Les Narvaux' 2020",29804,True,False
22138,레미 조바르 뫼르소 수 라 벨 2021,"Remi Jobard, Meursault 'Sous La Velle' 2021",29805,True,False
22139,"레미 조바르, 뫼르소 프리미에 크뤼 '레 제네브리에르' 2021","Remi Jobard, Meursault 1er Cru 'Les Genevrières' 2021",29806,True,False
22140,레미조바르 뫼르소 프리미에 크뤼 포뤼조 드 쒸 2020,"Domaine Remi Jobard, Meursault 1er Cru ' Le Poruzot Dessus' 2020",29807,True,False
22141,레미조바르 뫼르소 프리미에 크뤼 포뤼조 드 쒸 2021,"Domaine Remi Jobard, Meursault 1er Cru ' Le Poruzot Dessus' 2021",29808,True,False
22142,레미 조바르 부르고뉴 꼬뜨 도르 블랑 V.V 2021,"Domaine Remi Jobard, Bourgogne Cote d'Or Blanc 'Vieilles Vignes' 2021",29809,True,False
22143,"레미 조바르 ,알리고떼 2020","Remi Jobard, Aligote 2020",29810,True,False
22144,르 쁘띠 샤방 스파클링 로제,Le Petit Chavin Sparkling Rosé,29811,True,False
22145,르 쁘띠 샤방 머스캣 스파클링,Le Petit Chavin Muscat Sparkling,29812,True,False
22146,르 쁘띠 샤방 샤르도네 스파클링,Le Petit Chavin Chardonnay Sparkling,29813,True,False
22147,"페리에 주에, 벨 에포크 2014 글라스 패키지","Perrier Jouet, Belle Epoque 2014 Glass Set",29814,True,False
22148,"판티니, 에디찌오네 콜렉션","Fantini, Edizione Collection",29815,True,False
22149,클라우디 베이 소비뇽 블랑 6병(1박스),Cloudy Bay Sauvignon Blanc 6 Bottles,29816,True,True
22150,릿지 몬테 벨로 2011,Ridge Monte Bello 2011,29817,False,False
22151,마레드수스 브라운,Maredsous Bruin,29818,True,False
22152,부드바르 다크 라거 330ml,Budvar Dark Lager 330ml,29819,True,False
22153,도멘 토마스 모레이 포마르 프리미에 크뤼 레 샤렝스,Domaine Thomas Morey Pommard 1Er Cru Les Chanlins,29820,True,False
22154,일 폴렌자 피우스 9 마스타이,Il Pollenza Pius IX Mastai,29821,True,False
22155,갈란타스,Galantas,29822,True,False
